,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,F,30,QF,169,Latitude,299,1,10,other,273,SD,730,SST_C,533,BOTTLE,604,SD_D_fCO2 [uatm],7,HLS_stdev,2,SD,4310,QF [QF],63,LATITUDE,96,SST(TSG)_C,209,,13
1,  QF,27,Date/Time,147,Longitude,299,YEAR_DEC,9,Year,105,Lat,109,TEMP_EQU_C,533,20130510GEMDJMAYT,67,SEA_SURFACE_TEMPERATURE_WOCE_FLAG,7,SSS(ctd)_avg,2,LONGITUDE,1266,winddir_rel [deg],13,LONGITUDE,96,JD_GMT,209,PH,6
2,### PFS Polarstern continuous surface water fCO2 dataset. General Oceanics 8050 continuous pCO2 measurements setup.,23,QC Note,145,Date,284,LATY,8,Day,104,Lon,100,xCO2_EQU_ppm,533,20100108MIRCJHATS,39,XCO2_DRY_AIR_WOCE_FLAG,7,YearDay,2,LATITUDE,1246,windspeed_rel [m/s],13,TCARBN,91,LAT_DEC_DEGREE,129,Sigma-T,6
3,JD_GMT,23,Mode,134,Time,284,LNGY,8,Month,104,pCO2_SST,73,TIME_UTC_hh:mm:ss,533,20091206MIRCJHATS,22,ATMOSPHERIC_PRESSURE_WOCE_FLAG,7,HLT_stdev,2,EQ_TMP,1130,xCO2_atm_interp [ppm_dry],13,CTDTMP,91,SAL(TSG)_PERMIL,129,TEMP,3
4,SST,18,xCO2,131,F,270,SST,6,Minute,98,Flag_p,73,dfCO2_uatm,533,20140129PRINUNIVRMK,18,ATMOSPHERIC_PRESSURE [kPa],7,latitude,2,SSS,1044,fCO2_sea_wet_IStemp [uatm],13,ALKALI,90,PRES_EQUIL_hPa,129,DO,3
5,EXPOCODE,18,Value,16,H2O (mmol/mol),252,TWS,5,Second,98,utc,73,SAL_permil,522,20100528MIRCJHATS,12,EQUILIBRATOR_TEMPERATURE_WOCE_FLAG,7,longitude,2,SST,979,xCO2_sea [ppm_dry],13,SALNTY,88,TIME_HH:MM:SS,129,Temp.,3
6,Type,15,Parameter,16,QF,252,TWD,5,Hour,98,yyyymmdd,73,xCO2_ATM_ppm,501,20120209PACIFICA1201b2,9,fCO2_WET_SW [uatm],7,SST(ctd)_stdev,2,EQ_PRE,965,second [UTC],13,ALKALI_FLAG_W,88,LONG_DEC_DEGREE,129,NO3,3
7,MM,15,,6,,248,SOURCE,4,Day of Year,77,fCO2_SST,73,PRES_EQU_hPa,501,20140131PRINUNIVRMK,8,D_fCO2_WOCE_FLAG,7,SSS(ctd)_stdev,2,ATM_PRE,931,day [UTC],13,DATE,87,EqTEMP_C,129,LAT,3
8,CruiseID,14,Notes,4,dfCO2,211,SAL,4,SSS ,60,delta fCO2,73,LAT_dec_degree,501,20121206MIRCJHATS,6,XCO2_DRY_SW_WOCE_FLAG,7,HL-TSG-T_avg,2,DATE,879,distance [km],13,TCARBN_FLAG_W,85,fCO2W@SST_uATM,129,COL,3
9,Group/ship,14,CO2,3,dpCO2,154,WBT,4,Cruise_ID,59,Bubble Flag,73,PRES_ATM@SSP_hPa,501,20110427IOSDFOJC,6,SALINITY [PSS],7,SST(estimated),2,CRUISE,844,xCO2_atm [ppm_dry],13,CTDPRS,84,PRES_SEALEVEL_hPa,123,ST,3
10,Date,13,Date Time,1,Salinity,153,DBT,4,"Atm xCO2 (dry, running mean) [ppm]",57,Flag_x,73,fCO2_ATM_interpolated_uatm,501,20091215PRINUNIVRMK,6,SD_fCO2_WET_SW [uatm],7,Equ-T_avg,2,TIME,836,year [UTC],13,STNNBR,84,xCO2W_PPM,119,PHA,3
11,SST [oC],13,PO4 [umol/kg],1,pCO2 SW (sat) uatm,152,BAROKP,4,Equi Press [mbar],57,hhmmss,73,LONG_dec_degree,501,20140206PRINUNIVRMK,6,TIME [YYYY-MM-DD hh:mm:ss],7,StnCst,2,EXPOCODE,759,winddir_tru [deg],13,SILCAT,83,GROUP/SHIP,119,Depth,3
12,SUBFLAG,13,CTD Sal [psu],1,SST (C),152,McMurdo Sta Antarctic,2,Equi Temp [deg C],57,xCO2_SST,73,xCO2_ATM_interpolated_ppm,501,20091203PRINUNIVRMK,5,LATITUDE [degr],7,HLT_avg,2,XCO2_AIR,749,month [UTC],13,DEPTH,82,xCO2A_PPM,119,PO4,3
13,DATE_UTC__ddmmyyyy,12,NO3 [umol/kg],1,Mooring Name,152,SOG#2,2,"pCO2 (SST, 100hum) [uatm]",57,fCO2_Eq,73,WOCE_QC_FLAG,501,20020816WHPSIOHLB,4,SD_ATMOSPHERIC_PRESSURE [kPa],7,SST(ctd)_avg,2,XCO2_EQ,689,pCO2_sea_wet_IStemp [uatm],13,BTLNBR,81,fCO2A_uATM,119,Ship,3
