,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,SD,730,,1464,other,273,Time,289,QF,169,LONGITUDE,776,SD,4310,### PFS Polarstern continuous surface water fCO2 dataset. General Oceanics 8050 continuous pCO2 measurements setup.,23,JD_GMT,210,BOTTLE,638,,159,xCO2_EQU_ppm,534,LATITUDE,93,D;M;Y;H;Min;S;TJUL;lon;lat;NO3+2;SiO3;Sal;Chlorophyll;Pheophytin;Alk;TCO2,14,SUB_FLAG,7
1,,574,Westernmost Longitude:,113,Year,117,Date,288,Date/Time,147,EXPOCODE,762,ATM_PRE,775,0.0,0.0,SST(TSG)_C,210,20130510GEMDJMAYT,67,Longitude,95,TEMP_EQU_C,534,LONGITUDE,92,0.0,0.0,SD_XCO2_DRY_SW [ppm],7
2,Lat,140,"Enter decimal fractions of degrees:  (+ = E, - = W)",113,Month,115,Latitude,286,QC Note,145,LATITUDE,756,DATE,775,0.0,0.0,LONG_DEC_DEGREE,130,20100108MIRCJHATS,39,Latitude,95,SST_C,534,CTDTMP,91,0.0,0.0,XCO2_DRY_AIR [ppm],7
3,Lon,129,Start Date: (YYYYMMDD) ,90,Hour,108,Longitude,286,Mode,134,YEAR,627,SSS,761,0.0,0.0,PRES_EQUIL_hPa,130,20091206MIRCJHATS,23,Salinity,70,dfCO2_uatm,534,ALKALI,90,0.0,0.0,EQUILIBRATOR_TEMPERATURE_WOCE_FLAG,7
4,SST,84,Temporal Coverage,90,Day,108,F,270,xCO2,131,DAY,627,EQ_TMP,759,0.0,0.0,TIME_HH:MM:SS,130,20140129PRINUNIVRMK,18,Year,70,TIME_UTC_hh:mm:ss,534,TCARBN,88,0.0,0.0,SD_fCO2_WET_SW [uatm],7
5,xCO2_SST,73,Initial Submission: (YYYYMMDD) ,54,Second,100,QF,252,Value,16,MONTH,627,LONGITUDE,757,0.0,0.0,EqTEMP_C,130,20100528MIRCJHATS,12,Pressure(sea level),69,SAL_permil,513,SILCAT,86,0.0,0.0,fCO2_WET_SW_WOCE_FLAG,7
6,fCO2_SST,73,Submission Dates (will be completed by the data management),54,Minute,99,H2O (mmol/mol),252,Parameter,16,HOUR,516,LATITUDE,757,0.0,0.0,LAT_DEC_DEGREE,130,20120209PACIFICA1201b2,9, Air xpco2,69,LAT_dec_degree,502,SALNTY,85,0.0,0.0,XCO2_DRY_SW_WOCE_FLAG,7
7,yyyymmdd,73,Ship,47,Day of Year,78,,250,,6,EQ_PRE,512,TIME,733,0.0,0.0,fCO2W@SST_uATM,130,20091215PRINUNIVRMK,8,Time(UTC),69,LONG_dec_degree,502,DATE,85,0.0,0.0,D_fCO2 [uatm],7
8,delta xCO2,73,Measurement platform ID:,47,SSS ,61,dfCO2,212,Notes,4,EQ_TMP,512,XCO2_AIR,698,0.0,0.0,SAL(TSG)_PERMIL,130,20140131PRINUNIVRMK,8,Mo,69,fCO2_ATM_interpolated_uatm,502,TCARBN_FLAG_W,85,0.0,0.0,LONGITUDE [degr],7
9,Flag_x,73,CTD,45,Cruise_ID,59,dpCO2,154,CO2,3,SST,436,DEL_FCO2,680,0.0,0.0,PRES_SEALEVEL_hPa,124,20110427IOSDFOJC,6,sea pCO2 ,69,WOCE_QC_FLAG,502,ALKALI_FLAG_W,85,0.0,0.0,fCO2_WET_SW [uatm],7
10,utc,73, ,41,Atm. Pressure [mbar],58,Salinity,153,SiO4 [umol/kg],1,ATM_PRE,427,SST,675,0.0,0.0,CRUISE_DESIGNATION,120,20121206MIRCJHATS,6,Speed,69,PRES_EQU_hPa,502,STNNBR,84,0.0,0.0,SEA_SURFACE_TEMPERATURE [degr C],7
11,pCO2_SST,73,Precision,36,"pCO2 (SST, 100hum) [uatm]",58,pCO2 Air (sat) uatm,152,Cast No.,1,MIN,416,XCO2_EQ,641,0.0,0.0,fCO2A_uATM,120,20140206PRINUNIVRMK,6,T Equil,69,PRES_ATM@SSP_hPa,502,CTDPRS,84,0.0,0.0,LATITUDE [degr],7
12,fCO2_Eq,73,CO2 Sensors,33,Atm. xCO2 (dry) [ppm],58,SST (C),152,CTD PAR [uE/m^2/s],1,SSS,416,CRUISE,606,0.0,0.0,dfCO2_uATM,120,20110314JAMSTECRIGC,5,Sea xpco2,69,xCO2_ATM_ppm,502,DEPTH,82,0.0,0.0,XCO2_DRY_AIR_WOCE_FLAG,7
13,delta pCO2,73,NDIR,33,"Atm xCO2 (dry, running mean) [ppm]",58,pCO2 SW (sat) uatm,152,ChlTOT [mg/m^3],1,SEC,416,EQ_PRE,594,0.0,0.0,xCO2A_PPM,120,20020816WHPSIOHLB,5,SST,69,xCO2_ATM_interpolated_ppm,502,OXYGEN,82,0.0,0.0,SALINITY_WOCE_FLAG,7
14,xCO2_Eq,73,CO2 Sensor,33,Equi Temp [deg C],58,Mooring Name,152,PON [ug/L],1,XCO2_AIR_INT,322,FCO2_AIR,471,0.0,0.0,xCO2W_PPM,120,20081204PRINUNIVRMKPRINUNIVRMK,5,Dy,69,QC_SUBFLAG,501,PHSPHT,82,0.0,0.0,EQUILIBRATOR_PRESSURE_WOCE_FLAG,7
15,hhmmss,73,RV Cefas Endeavour,27,"fCO2 (SST, 100hum) [uatm]",58,Licor Temp (C),151,Type,1,FCO2_WAT,284,FCO2_EQ,461,0.0,0.0,GROUP/SHIP,120,20091203PRINUNIVRMK,5,Wet Bulb,69,fCO2_SW@SST_uatm,490,BTLNBR,81,0.0,0.0,EQUILIBRATOR_TEMPERATURE [degr C],7
16,Flag_f,73,20051128,25,Longitude [deg E],58,xCO2  SW (dry) (umol/mol),146,TSS [mg/L],1,CRUISE,244,PCO2_AIR,453,0.0,0.0,xCO2A_INTERPOLATED_PPM,105,20160204PRINUNIVRMK,4,Dry Bulb,69,DATE_UTC__ddmmyyyy,456,SILCAT_FLAG_W,79,0.0,0.0,D_fCO2_WOCE_FLAG,7
17,Bubble Flag,73,0.5 uatm,23,Latitude [deg N],58,fCO2  Air (sat) uatm,146,Salt [psu],1, SST,191,DEL_PCO2,449,0.0,0.0,DATE_DDMMYYYY,94,20010907WHPSIOdm,4,Air pCO2,69,Expocode,396,CASTNO,78,0.0,0.0,SEA_SURFACE_TEMPERATURE_WOCE_FLAG,7
18,delta fCO2,73,20120216,20,Equi Press [mbar],58,xCO2  Air (wet) (umol/mol),146,yyyy-mm-dd hh:mm,1, XCO2_EQ,191,AIR_TMP,446,0.0,0.0,DATE_MM/DD/YYYY,91,20081215PRINUNIVRMK,4,humid,39,YD_UTC,373,OXYGEN_FLAG_W,77,0.0,0.0,SD_D_fCO2 [uatm],7
19,Flag_p,73,RV Prince Madog,20,"xCO2 (equi temp, dry) [ppm]",58,xCO2  Air (dry) (umol/mol),146,Nominal Depth [m] ,1,FCO2_WAT_SST,182,XCO2_AIR_FLAG,435,0.0,0.0,QC_FLAG,86,20061130WHPSIODBK,4,interp,19,Group,321,EXPOCODE,77,0.0,0.0,SD_ATMOSPHERIC_PRESSURE [kPa],7
20,Station,72,20120215,17,EXPOCODE,50,xCO2  SW (wet) (umol/mol),146,Oxy [umol/kg],1,PCO2_WAT_SST,182,PCO2_AIR_FLAG,431,0.0,0.0,xCO2a_ppm,80,20130925PRINUNIVRMK,4,Cruise_ID,14,Cruise ID,242,TIME,74,0.0,0.0,SD_XCO2_DRY_AIR [ppm],7
21,Year,69,Difference,17,  SST [deg C],41,fCO2  SW (sat) uatm,146,TOC [mmol/L],1,XCO2_AIR,182,ABSOLUTE_WIND_SPEED,431,0.0,0.0,Cruise,80,20081126PRINUNIVRMK,4,Date_UTC,8,JD_GMT,161,SALNTY_FLAG_W,74,0.0,0.0,EQUILIBRATOR_PRESSURE [kPa],7
22,Time(UTC),69,20121112,17,Latitude,36,Licor Atm Pressure  (hPa),145,DOC [mmol/L],1,XCO2_EQ,179,HUMIDITY,431,0.0,0.0,EqTemp_C,80,20120718PRINUNIVRMK,4,Time_UTC,8,Ship,149,PHSPHT_FLAG_W,73,0.0,0.0,ATMOSPHERIC_PRESSURE [kPa],7
23,Mo,68,A,14,Longitude,32,SST,131,Longitude [degrees_east],1,XH2O,134,AIR_FCO2_FLAG,431,0.0,0.0,fCO2a_uatm,80,20101227MIRCJHATS,4,Temp_C,7,EXPOCODE,115,BTLNBR_FLAG_W,69,0.0,0.0,TIME [YYYY-MM-DD hh:mm:ss],7
24,Comments,68,CCl4,14,Salinity [psu],21,SSS,130,Station Name,1,XCO2_WAT_SST,134,SHIP_SPEED,431,0.0,0.0,dfCO2_uatm,78,20020926WHPSIOKJU,4,Date_EDT,7,Group_Ship,115,NITRAT,67,0.0,0.0,XCO2_DRY_SW [ppm],7
25,Day,67,CH3Br,14,xCO2_water_Tequ_dry [umol/mol],21,% O2,125,QF Note,1,DATE,111,PCO2_SST,431,0.0,0.0,fCO2w@SST_uatm,72,20020606WHPSIOSA,4,Time_EDT,7,DATE_UTC_ddmmyyyy,47,SAMPNO,65,0.0,0.0,ATMOSPHERIC_PRESSURE_WOCE_FLAG,7
26,QF [QF],63,CH3I,14,fCO2_water_SST_wet [uatm],21,Cruise,71,PO4 [umol/kg],1,TIME,109,SOLAR_RAD,431,0.0,0.0,Pres_sealevel_mB,70,20160211PRINUNIVRMK,3,RWind1-sp,6,Cruise_ID,43,NITRAT_FLAG_W,63,0.0,0.0,SD_EQUILIBRATOR_PRESSURE [kPa],7
27,EXPOCODE,61,PCE,14,delta pCO2 [uatm],21,Ship,70,CTD Oxy [umol/kg],1,MINUTE,99,REL_WIND_SPEED,431,0.0,0.0,Longitude,70,20090818MIRCJHATS,3,RWInd1-dir,6,QC_flag,32,CTDSAL,60,0.0,0.0,SALINITY [PSS],7
28,pCO2_sw,49,CH3Cl,14,xCO2_atm_dry_actual [umol/mol],21,Mooring,61,Time,1,SHIP,98,FCO2_SST,431,0.0,0.0,Group,70,20091216PRINUNIVRMK,3,CO2,6,LONG_DEC_DEGREE,32,CTDSAL_FLAG_W,57,0.0,0.0,DISSOLVED_OXYGEN_WOCE_FLAG,6
29,DOY,49,CFC11,14,Longitude [degE],21,xCO2_SW_dry,60,Date Time,1,PCO2_WAT,96,XCO2_SST,431,0.0,0.0,Pres_Equil_mB,70,20080605JAMSTEC,3,fluor,6,Press_EQU_hPa,32,SECT,41,0.0,0.0,DISSOLVED_OXYGEN [umol/l],6
30,T_equ,49,CH2Br2,14,wind_dir_true [deg],21,fCO2_Air_sat,60,O18 [permil VSMOW],1,DEPTH,85,DEL_XCO2,431,0.0,0.0,xCO2w_ppm,70,20020620WHPSIOKJU,3,TWind1-dir,6,LAT_DEC_DEGREE,32,NITRIT,32,0.0,0.0,SD_DISSOLVED_OXYGEN [umol/l],6
31,P_atm,49,CHBr3,14,pCO2_atm_wet_actual [uatm],21,xCO2_Air_dry,60,RT Temp [deg C],1,JULIAN_DATE,63,EXPOCODE,261,0.0,0.0,Time,70,20140124PRINUNIVRMK,3,sal,6, fCO2_SW@SST_uatm,32,NITRIT_FLAG_W,28,0.0,0.0,0.0,0.0
32,fCO2_sw,49,CFC12,14,Equilibrator Pressure [hPa],21,xCO2_SW_wet,60,Cruise,1,H2O,63,XCO2_AIR_INTERP,216,0.0,0.0,Date,70,20021108WHPSIOdm,3,REL-HUM,6,xCO2_ATM_ppm_measured,32,PH_TMP,22,0.0,0.0,0.0,0.0
33,pCO2_atm,49,HCFC22,14,SST [degC],21,xCO2_Air_QF,60,DIC [umol/kg],1,TCARBN,57,JD_GMT,193,0.0,0.0,Latitude,70,20091219PRINUNIVRMK,3,EXPOCODE,6,Year_Fractional,32,PH_TOT,21,0.0,0.0,0.0,0.0
34,S_sea,49,MC,14,wind_speed_true [m/s],21,H2O_AIR,60,CTD Sal [psu],1,SECOND,54,FCO2_WAT,175,0.0,0.0,Sal(TSG)_permil,69,20001102WHPSIOJJW,3,press,6,Press_SEALEVEL_hPa,32,,21,0.0,0.0,0.0,0.0
35,fCO2_atm,49,CFC113,14,oxygen [umol/l],21,xCO2_SW_QF,60,CTD Trans [%],1,STATION,54,FCO2_WAT_SST,155,0.0,0.0,QC_SUBFLAG,63,20061204WHPSIODBK,3,TWind1-sp,6,QC_sub_flag,32,SECT_ID,19,0.0,0.0,0.0,0.0
36,T_sea,49,CH2Cl2,14,silicate,21,Percent_O2,60,PhaeTOT [ug/L],1,FCO2_WAT_EQ,51,WIND_SPEED,149,0.0,0.0,EXPOCODE,31,20091210PRINUNIVRMK,3,depth,6,DATE_UTC__mmddyyyy,31,THETA,19,0.0,0.0,0.0,0.0
37,xCO2_equ,49,CHCl3,14,nitrate,21,xCO2_Air_wet,60,pH,1, SSS,51,WIND_DIR,134,0.0,0.0,TEMP_IR_C,19,20091209MIRCJHATS,3,Pressure (db),5,,26,PH_TOT_FLAG_W,19,0.0,0.0,0.0,0.0
38,WOCE QC flag,48,H1211,14,Latitude [degN],21,Licor_Atm_Pressure,60,NH4 [umol/kg],1,J_DAY,51,FCO2_AIR_INTERP,128,0.0,0.0,SHIP_HEADING_TRUE_DEGREE,19,20090112PRINUNIVRMKPRINUNIVRMK,3,NO3 (umol/kg),5,xCO2_ATM_assigned,21,NO2+NO3,16,0.0,0.0,0.0,0.0
39,xCO2_atm,48,C6H6,14,phosphate,21,H2O_SW,60,Date,1,MINUTES,50,QC_FLAG_W,118,0.0,0.0,fCO2_FLAG,19,20140120PRINUNIVRMK,3,pCO2_Discrete,5, fCO2_ATM_uatm,21,NO2+NO3_FLAG_W,15,0.0,0.0,0.0,0.0
40,Abs WV(m/s),47,B,14,Equilibrator Temperature [degC],21,Licor_Temp,60,CTD Fluor [mg/m^3] calibrated,1,SECONS,49,GROUP/SHIP,114,0.0,0.0,DATE_YYYYMMDD,19,20120806PRINUNIVRMK,3,total UV,5,SAL(TSG)_PERMIL,21,CHLORA_FLAG_W,14,0.0,0.0,0.0,0.0
41,Sal verified,47,Absolute,13,Pressure_atm [hPa],21,fCO2_SW_sat,60,Water Depth [m],1,JUL_DATE,49,XCO2_WAT,102,0.0,0.0,SHIP_SPEED_KNOT,19,20100520MIRCJHATS,3,Salinity_Discrete,5,WIND_SPEED_TRUE_M/S,11,CHLORA,14,0.0,0.0,0.0,0.0
42,Eq Temp cal,47,Curve Fitting Method,13,pCO2_water_SST_wet [uatm],21,Atm_Prs,48,Alk [umol/kg],1,REL_HUM,49,SSS_FLAG,100,0.0,0.0,WIND_SPEED_TRUE_M/S,19,20040202WHPSIOSA,3,SIO3 (umol/kg),5,SHIP_HEADING_TRUE_DEGREE,11,CFC-12,12,0.0,0.0,0.0,0.0
43,Air fCO2 cal,47,DIC,13,Eq_Press,20,xCO2_Air,48,NO3 [umol/kg],1,XCO2_EQ_AIR,49,CRUISE_ID,92,0.0,0.0,WIND_DIR_TRUE_DEGREE,19,20030224WHPSIOdm,3,Sample_ID,5,WIND_SPEED_REL_M/S,11,DOC,12,0.0,0.0,0.0,0.0
44,Solar Radiation (W/m2),47,0.5 ppm,13,Atm_Pressure,20,xCO2_Sea,48,AlkOnly [umol/kg],1,WIND_SPEED_ABS,49,            SST,86,0.0,0.0,PRES_IR_hPa,19,20141205PRINUNIVRMK,3,solar rad,5,AIR_TEMP_C,11,CFC-11,12,0.0,0.0,0.0,0.0
